movie,tags,image_count
Die Säge des Todes,"horror(14, 27.45%), suspenseful(4, 7.84%), mystery(4, 7.84%), dark(3, 5.88%), action(14, 27.45%), comic(8, 15.69%), romantic(7, 13.73%), fantasy(7, 13.73%), historical(2, 3.92%), western(1, 1.96%), comedy(5, 9.80%), cult(9, 17.65%), dramatic(3, 5.88%), psychological(1, 1.96%), sci-fi(3, 5.88%), plot twist(1, 1.96%)",51
"I, Frankenstein",,76
Tristan + Isolde,"fantasy(54, 56.84%), sci-fi(8, 8.42%), action(47, 49.47%), historical(19, 20.00%), horror(14, 14.74%), comedy(11, 11.58%), cult(5, 5.26%), romantic(24, 25.26%), comic(7, 7.37%), dramatic(11, 11.58%), intrigue(5, 5.26%), suspenseful(4, 4.21%), mystery(14, 14.74%), dark(11, 11.58%), western(3, 3.16%), violence(1, 1.05%), storytelling(1, 1.05%)",95
The Land Before Time V: The Mysterious Island,"fantasy(7, 35.00%), action(2, 10.00%), comedy(1, 5.00%)",20
A Hard Day's Night,"cult(14, 18.42%), action(8, 10.53%), comedy(7, 9.21%), horror(3, 3.95%), historical(4, 5.26%), dark(3, 3.95%), fantasy(2, 2.63%), murder(3, 3.95%), mystery(6, 7.89%), romantic(1, 1.32%), satire(1, 1.32%), intrigue(1, 1.32%)",76
This Means War,"romantic(21, 30.88%), comedy(23, 33.82%), action(39, 57.35%), fantasy(15, 22.06%), sci-fi(8, 11.76%), horror(12, 17.65%), cult(4, 5.88%), mystery(13, 19.12%), comic(5, 7.35%), dramatic(6, 8.82%), humor(2, 2.94%), inspiring(1, 1.47%), whimsical(1, 1.47%), entertaining(1, 1.47%), thought-provoking(1, 1.47%), western(2, 2.94%), suspenseful(3, 4.41%), intrigue(2, 2.94%), historical(1, 1.47%)",68
The Wrong Trousers,"comedy(15, 26.79%), fantasy(7, 12.50%), action(8, 14.29%), cult(5, 8.93%), humor(5, 8.93%), comic(4, 7.14%), entertaining(1, 1.79%), satire(2, 3.57%), dark(1, 1.79%), sci-fi(1, 1.79%), horror(2, 3.57%), whimsical(1, 1.79%)",56
Per un pugno di dollari,"western(55, 74.32%), cult(18, 24.32%), horror(7, 9.46%), mystery(9, 12.16%), action(27, 36.49%), historical(6, 8.11%), psychological(1, 1.35%), romantic(3, 4.05%), fantasy(4, 5.41%), sci-fi(1, 1.35%), comedy(4, 5.41%), dramatic(1, 1.35%), suspenseful(1, 1.35%), storytelling(1, 1.35%), alternate reality(1, 1.35%), intrigue(2, 2.70%), murder(1, 1.35%), humor(1, 1.35%), violence(1, 1.35%), dark(1, 1.35%)",74
Star Wars: Episode V - The Empire Strikes Back,"romantic(1, 7.69%), comedy(1, 7.69%), action(7, 53.85%), fantasy(5, 38.46%), sci-fi(3, 23.08%), horror(2, 15.38%), mystery(2, 15.38%), cult(1, 7.69%), comic(1, 7.69%)",13
Jungledyret,"comedy(2, 16.67%), action(3, 25.00%), fantasy(3, 25.00%), dark(1, 8.33%), whimsical(1, 8.33%)",12
Four Christmases,"romantic(21, 32.31%), action(25, 38.46%), comedy(28, 43.08%), western(4, 6.15%), horror(10, 15.38%), mystery(13, 20.00%), fantasy(10, 15.38%), cult(6, 9.23%), storytelling(1, 1.54%), sci-fi(2, 3.08%), suspenseful(2, 3.08%), psychological(1, 1.54%), entertaining(1, 1.54%), murder(1, 1.54%), dramatic(1, 1.54%), thought-provoking(1, 1.54%)",65
